Date,Source,Site ID,POC,Daily Mean PM2.5 Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
2/11/2020,AQS,60010007,3,2.5,ug/m3 LC,10,Livermore,1,100,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,1,Alameda,37.687526,-121.784217
2/12/2020,AQS,60010007,3,5.8,ug/m3 LC,24,Livermore,1,100,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,1,Alameda,37.687526,-121.784217
2/13/2020,AQS,60010007,3,8.5,ug/m3 LC,35,Livermore,1,100,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,1,Alameda,37.687526,-121.784217
2/14/2020,AQS,60010007,3,8,ug/m3 LC,33,Livermore,1,100,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,1,Alameda,37.687526,-121.784217
2/15/2020,AQS,60010007,3,10.3,ug/m3 LC,43,Livermore,1,100,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,1,Alameda,37.687526,-121.784217
2/19/2020,AQS,60010007,3,7.1,ug/m3 LC,30,Livermore,1,100,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,1,Alameda,37.687526,-121.784217
2/20/2020,AQS,60010007,3,11.4,ug/m3 LC,48,Livermore,1,100,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,1,Alameda,37.687526,-121.784217
2/21/2020,AQS,60010007,3,8.4,ug/m3 LC,35,Livermore,1,100,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,1,Alameda,37.687526,-121.784217
2/22/2020,AQS,60010007,3,9.9,ug/m3 LC,41,Livermore,1,100,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,1,Alameda,37.687526,-121.784217
2/23/2020,AQS,60010007,3,5.6,ug/m3 LC,23,Livermore,1,100,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,1,Alameda,37.687526,-121.784217
2/24/2020,AQS,60010007,3,4.7,ug/m3 LC,20,Livermore,1,100,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,1,Alameda,37.687526,-121.784217
2/25/2020,AQS,60010007,3,3.6,ug/m3 LC,15,Livermore,1,100,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,1,Alameda,37.687526,-121.784217
2/26/2020,AQS,60010007,3,9.6,ug/m3 LC,40,Livermore,1,100,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,1,Alameda,37.687526,-121.784217
2/27/2020,AQS,60010007,3,11.9,ug/m3 LC,50,Livermore,1,100,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,1,Alameda,37.687526,-121.784217
2/28/2020,AQS,60010007,3,10.8,ug/m3 LC,45,Livermore,1,100,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,1,Alameda,37.687526,-121.784217
2/29/2020,AQS,60010007,3,7.1,ug/m3 LC,30,Livermore,1,100,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,1,Alameda,37.687526,-121.784217
3/1/2020,AirNow,60010007,3,3.6,ug/m3 LC,15,Livermore,1,100,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,1,Alameda,37.687526,-121.784217
3/2/2020,AirNow,60010007,3,1.9,ug/m3 LC,8,Livermore,1,100,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,1,Alameda,37.687526,-121.784217
3/3/2020,AirNow,60010007,3,4.1,ug/m3 LC,17,Livermore,1,100,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,1,Alameda,37.687526,-121.784217
3/4/2020,AirNow,60010007,3,8,ug/m3 LC,33,Livermore,1,100,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,1,Alameda,37.687526,-121.784217
3/5/2020,AirNow,60010007,3,11,ug/m3 LC,46,Livermore,1,100,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,1,Alameda,37.687526,-121.784217
3/6/2020,AirNow,60010007,3,4.6,ug/m3 LC,19,Livermore,1,100,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,1,Alameda,37.687526,-121.784217
3/7/2020,AirNow,60010007,3,2.1,ug/m3 LC,9,Livermore,1,100,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,1,Alameda,37.687526,-121.784217
3/8/2020,AirNow,60010007,3,4,ug/m3 LC,17,Livermore,1,100,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,1,Alameda,37.687526,-121.784217
3/9/2020,AirNow,60010007,3,3.7,ug/m3 LC,15,Livermore,1,100,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,1,Alameda,37.687526,-121.784217
